Hit;Tool;ShapesLanguage;Size;ElapsedTime_ms
27;RML2SHACL;SHACL;100000;268
28;RML2SHACL;SHACL;100000;255
29;RML2SHACL;SHACL;100000;270
30;RML2SHACL;SHACL;100000;268
1;RML2SHACL;SHACL;1000000;309
2;RML2SHACL;SHACL;1000000;297
3;RML2SHACL;SHACL;1000000;270
4;RML2SHACL;SHACL;1000000;275
5;RML2SHACL;SHACL;1000000;263
6;RML2SHACL;SHACL;1000000;259
7;RML2SHACL;SHACL;1000000;269
8;RML2SHACL;SHACL;1000000;268
9;RML2SHACL;SHACL;1000000;267
10;RML2SHACL;SHACL;1000000;269
11;RML2SHACL;SHACL;1000000;266
12;RML2SHACL;SHACL;1000000;266
13;RML2SHACL;SHACL;1000000;274
14;RML2SHACL;SHACL;1000000;267
15;RML2SHACL;SHACL;1000000;269
16;RML2SHACL;SHACL;1000000;264
17;RML2SHACL;SHACL;1000000;262
18;RML2SHACL;SHACL;1000000;256
19;RML2SHACL;SHACL;1000000;264
20;RML2SHACL;SHACL;1000000;253
21;RML2SHACL;SHACL;1000000;288
22;RML2SHACL;SHACL;1000000;260
23;RML2SHACL;SHACL;1000000;263
24;RML2SHACL;SHACL;1000000;262
25;RML2SHACL;SHACL;1000000;266
26;RML2SHACL;SHACL;1000000;254
27;RML2SHACL;SHACL;1000000;272
28;RML2SHACL;SHACL;1000000;265
29;RML2SHACL;SHACL;1000000;267
30;RML2SHACL;SHACL;1000000;272
1;ShExML;ShEx;1000;2505
2;ShExML;ShEx;1000;1822
3;ShExML;ShEx;1000;1873
4;ShExML;ShEx;1000;1852
5;ShExML;ShEx;1000;1846
6;ShExML;ShEx;1000;1899
7;ShExML;ShEx;1000;1783
8;ShExML;ShEx;1000;1904
9;ShExML;ShEx;1000;1858
10;ShExML;ShEx;1000;1834
11;ShExML;ShEx;1000;1840
12;ShExML;ShEx;1000;1824
13;ShExML;ShEx;1000;1828
14;ShExML;ShEx;1000;1840
15;ShExML;ShEx;1000;1762
16;ShExML;ShEx;1000;1817
17;ShExML;ShEx;1000;1792
18;ShExML;ShEx;1000;1829
19;ShExML;ShEx;1000;1886
20;ShExML;ShEx;1000;1833
21;ShExML;ShEx;1000;1815
22;ShExML;ShEx;1000;1742
23;ShExML;ShEx;1000;1891
24;ShExML;ShEx;1000;1755
25;ShExML;ShEx;1000;1783
26;ShExML;ShEx;1000;1861
27;ShExML;ShEx;1000;1838
28;ShExML;ShEx;1000;1859
29;ShExML;ShEx;1000;1834
30;ShExML;ShEx;1000;1797
1;ShExML;SHACL;1000;1826
2;ShExML;SHACL;1000;1896
3;ShExML;SHACL;1000;1895
4;ShExML;SHACL;1000;1892
5;ShExML;SHACL;1000;1971
6;ShExML;SHACL;1000;1909
7;ShExML;SHACL;1000;1926
8;ShExML;SHACL;1000;1868
9;ShExML;SHACL;1000;1892
10;ShExML;SHACL;1000;1878
11;ShExML;SHACL;1000;1816
12;ShExML;SHACL;1000;1919
13;ShExML;SHACL;1000;1934
14;ShExML;SHACL;1000;1922
15;ShExML;SHACL;1000;1921
16;ShExML;SHACL;1000;1947
17;ShExML;SHACL;1000;1939
18;ShExML;SHACL;1000;1863
19;ShExML;SHACL;1000;1863
20;ShExML;SHACL;1000;1888
21;ShExML;SHACL;1000;1944
22;ShExML;SHACL;1000;1972
23;ShExML;SHACL;1000;1912
24;ShExML;SHACL;1000;1915
25;ShExML;SHACL;1000;1925
26;ShExML;SHACL;1000;1867
27;ShExML;SHACL;1000;1863
28;ShExML;SHACL;1000;1878
29;ShExML;SHACL;1000;1928
30;ShExML;SHACL;1000;1859
1;ShExML;ShEx;10000;3251
2;ShExML;ShEx;10000;3177
3;ShExML;ShEx;10000;3115
4;ShExML;ShEx;10000;3201
5;ShExML;ShEx;10000;3138
6;ShExML;ShEx;10000;3246
7;ShExML;ShEx;10000;3326
8;ShExML;ShEx;10000;3214
9;ShExML;ShEx;10000;3178
10;ShExML;ShEx;10000;3079
11;ShExML;ShEx;10000;3110
12;ShExML;ShEx;10000;3214
13;ShExML;ShEx;10000;3116
14;ShExML;ShEx;10000;3113
15;ShExML;ShEx;10000;3160
16;ShExML;ShEx;10000;3132
17;ShExML;ShEx;10000;3164
18;ShExML;ShEx;10000;3098
19;ShExML;ShEx;10000;3237
20;ShExML;ShEx;10000;3134
21;ShExML;ShEx;10000;3278
22;ShExML;ShEx;10000;3193
23;ShExML;ShEx;10000;3274
24;ShExML;ShEx;10000;3269
25;ShExML;ShEx;10000;3351
26;ShExML;ShEx;10000;3333
27;ShExML;ShEx;10000;3251
28;ShExML;ShEx;10000;3283
29;ShExML;ShEx;10000;3265
30;ShExML;ShEx;10000;3310
1;ShExML;SHACL;10000;3257
2;ShExML;SHACL;10000;3276
3;ShExML;SHACL;10000;3265
4;ShExML;SHACL;10000;3139
5;ShExML;SHACL;10000;3331
6;ShExML;SHACL;10000;3251
7;ShExML;SHACL;10000;3145
8;ShExML;SHACL;10000;3251
9;ShExML;SHACL;10000;3218
10;ShExML;SHACL;10000;3157
11;ShExML;SHACL;10000;3256
12;ShExML;SHACL;10000;3185
13;ShExML;SHACL;10000;3248
14;ShExML;SHACL;10000;3298
15;ShExML;SHACL;10000;3322
16;ShExML;SHACL;10000;3192
17;ShExML;SHACL;10000;3230
18;ShExML;SHACL;10000;3319
19;ShExML;SHACL;10000;3285
20;ShExML;SHACL;10000;3264
21;ShExML;SHACL;10000;3218
22;ShExML;SHACL;10000;3322
23;ShExML;SHACL;10000;3454
24;ShExML;SHACL;10000;3431
25;ShExML;SHACL;10000;3264
26;ShExML;SHACL;10000;3335
27;ShExML;SHACL;10000;3325
28;ShExML;SHACL;10000;3327
29;ShExML;SHACL;10000;3477
30;ShExML;SHACL;10000;3375
1;ShExML;ShEx;100000;8721
2;ShExML;ShEx;100000;8593
3;ShExML;ShEx;100000;8565
4;ShExML;ShEx;100000;8658
5;ShExML;ShEx;100000;8784
6;ShExML;ShEx;100000;8530
7;ShExML;ShEx;100000;8529
8;ShExML;ShEx;100000;8498
9;ShExML;ShEx;100000;8241
10;ShExML;ShEx;100000;8440
11;ShExML;ShEx;100000;8014
12;ShExML;ShEx;100000;8714
13;ShExML;ShEx;100000;8372
14;ShExML;ShEx;100000;8597
15;ShExML;ShEx;100000;8552
16;ShExML;ShEx;100000;8459
17;ShExML;ShEx;100000;8599
18;ShExML;ShEx;100000;8227
19;ShExML;ShEx;100000;9058
20;ShExML;ShEx;100000;8946
21;ShExML;ShEx;100000;9692
22;ShExML;ShEx;100000;8880
23;ShExML;ShEx;100000;8415
24;ShExML;ShEx;100000;9583
25;ShExML;ShEx;100000;8048
26;ShExML;ShEx;100000;8387
27;ShExML;ShEx;100000;8057
28;ShExML;ShEx;100000;8431
29;ShExML;ShEx;100000;8472
30;ShExML;ShEx;100000;8964
1;ShExML;SHACL;100000;8974
2;ShExML;SHACL;100000;8634
3;ShExML;SHACL;100000;8574
4;ShExML;SHACL;100000;8635
5;ShExML;SHACL;100000;8713
6;ShExML;SHACL;100000;9716
7;ShExML;SHACL;100000;8992
8;ShExML;SHACL;100000;8979
9;ShExML;SHACL;100000;9514
